x	y
0.657	0
0.816	0
1.333	0
1.452	0
1.531	0
1.611	0
1.810	0
1.969	0
2.048	0
2.247	0
2.446	0
2.485	0
2.644	0
2.843	0
3.280	0
3.400	0
3.678	0
3.757	0.645
3.996	7.636
4.194	11.401
4.473	8.712
4.592	7.636
4.910	9.250
5.228	15.166
5.506	16.241
5.705	15.166
5.904	16.779
6.063	17.317
6.182	18.930
6.381	21.081
6.619	25.922
6.897	28.611
7.175	32.375
7.295	32.375
7.493	30.762
7.652	30.762
7.891	31.300
8.050	32.375
8.129	32.913
8.408	36.140
8.567	36.678
8.845	36.140
8.964	36.140
9.123	36.678
9.322	37.753
9.520	37.215
9.759	36.678
9.878	36.140
10.037	36.140
10.196	36.140
10.355	36.140
10.554	35.602
10.753	35.602
10.832	35.602
11.150	35.602
11.508	33.989
11.627	33.451
11.985	33.451
12.104	34.526
12.342	35.602
12.422	36.140
12.819	37.753
13.137	37.215
13.455	38.829
13.575	39.904
13.773	41.518
14.131	44.745
14.409	44.745
14.687	45.820
14.846	45.820
14.886	45.820
15.085	45.820
15.204	44.745
15.482	43.131
15.562	42.593
15.880	43.131
15.959	43.669
16.158	43.669
16.317	43.669
16.397	44.207
16.635	43.131
16.834	43.669
16.913	43.669
16.953	43.669
17.072	43.131
17.152	42.593
17.192	43.131
17.351	43.131
17.390	43.131
17.470	43.131
17.748	42.593
17.907	42.593
18.026	43.131
18.265	43.131
18.503	42.593
18.821	43.131
18.861	43.131
19.099	43.669
